ROWNUMBER|ITEMID|TITLEFULL
160|18971|The Nine Lives of Fritz the Cat
161|9403|Lathe of Heaven
162|21778|Lemony Snickets A Series of Unfortunate Events
163|16759|Far from Heaven
164|16890|Flowers in the Attic
165|19479|Psycho II
166|16096|The Count of Monte Cristo
167|19583|Razor Blade Smile
168|18014|King Arthur
169|21970|Rushmore
170|19233|The Passion of the Christ
171|16649|The Enforcer
172|18003|Killers Kiss
173|14888|The 10th Kingdom
174|16089|Cosi
175|20541|Targets
176|14959|Ace Ventura: When Nature Calls
177|20945|Vampire in Brooklyn
178|19329|Pinjar
179|16892|The Fluffer
180|19536|Racing with the Moon
181|21045|The War of the Roses
182|21745|Journey to the Center of the Earth
183|19982|Shadow of the Thin Man
184|15234|Bad Company
185|21250|Wolfen
186|20765|The Transporter
187|17054|The General
188|17351|Harts War
189|17686|In America
190|17426|Herbie Goes Bananas
191|21892|The Paleface
192|22196|Freaky Friday
193|15587|Born Romantic
194|19424|Pride and Prejudice
195|18761|Mountains of the Moon
196|15740|Cabeza de Vaca
197|15100|Angels in the Outfield
198|15703|Bullet
199|15935|The Chronicles of Riddick
200|17104|Ginger Snaps Back: The Beginning
201|21310|Yi yi
202|15772|The Cannonball Run
203|15531|Bloody Mallory
204|21991|Second Nature
205|21482|Bringing Down the House
206|15106|Animal Factory
207|17880|Jingle All the Way
208|21698|House of Sand and Fog
209|15026|All That Heaven Allows
210|21701|How the West Was Won
211|17799|The Island at the Top of the World
212|21202|Win a Date with Tad Hamilton!
213|18998|Noises Off...
214|16259|The Day After
215|19744|Rocketship X-M
216|21204|Wind
217|21727|Indiana Jones and the Temple of Doom
218|21927|Pump Up the Volume
219|10604|Thoroughly Modern Millie
220|19213|Paradise, Hawaiian Style
221|19036|Oasis
222|17783|Invincible
223|17870|Jersey Girl
224|16442|Disco Pigs
225|20454|Superstar
226|6772|The Locals
227|18566|Maze
228|15261|Bang the Drum Slowly
229|17570|Hudson Hawk
230|18130|The Last Don II
231|21908|The Pick-up Artist
232|19038|The Object of My Affection
233|21955|Road to Perdition
234|17234|Greystoke: The Legend of Tarzan, Lord of the Apes
235|16050|Confessions of a Dangerous Mind
236|16197|D.E.B.S.
237|20111|Sister My Sister
238|16785|Fear
239|20767|Trapped
240|17862|Jeans
241|18705|Mohabbatein
242|17396|Heavens Gate
243|17730|Indian
244|16066|Convoy
245|17760|Instinct
246|18588|Meet the Feebles
247|19762|Romance
248|17768|Intersection
249|16407|Die Hard: With a Vengeance
250|20737|Touch of Evil
251|21702|How to Deal
252|16387|The Devils Brigade
253|15109|The Animatrix
254|22025|Snow Falling on Cedars
255|21311|Yojimbo
256|19564|Ran
257|21023|Waking Life
258|19972|The Seventh Sign
259|15001|Aitraaz
260|12479|Tarzan, the Ape Man
261|17147|Godsend
262|15696|Buddy
263|19923|Scrooged
264|18266|Little Miss Marker
265|18615|Mermaids
266|20377|Strange Invaders
267|18530|Marked for Death
268|21502|Charlies Angels: Full Throttle
269|21922|The Prisoner
270|16812|The Fifth Element
271|20716|Tomorrow Never Dies
272|19724|Roadie
273|21984|Scent of a Woman
274|17369|He Got Game
275|19737|Robots
276|21388|3 Ninjas
277|19747|Rocky
278|19749|Rocky III
279|16729|Fade to Black
280|22158|Xchange
281|17427|Herbie Goes to Monte Carlo
282|19781|Round Midnight
283|8014|Focus
284|19148|The Others
285|21142|Whispers in the Dark
286|18754|Mother Night
287|21847|The Mothman Prophecies
288|21869|Norma Jean & Marilyn
289|16630|Emma
290|21690|Hollywood Homicide
291|20522|Tales from the Hood
292|15778|Capricorn One
293|18723|Monkeybone
294|21933|Ragtime
295|21369|Shane
296|17230|Gregorys Girl
297|14980|The Adventures of Sherlock Holmes
298|21395|After the Thin Man
299|19395|The Postman Always Rings Twice
300|17252|The Guardian
301|21038|The Wanderers
302|20813|Truck Turner
303|20646|Throw Momma from the Train
304|16168|Cry-Baby
305|15708|Bully
306|18535|The Marrying Man
307|15447|Billy Jack
308|18175|Lean on Me
309|17468|The Hindenburg
310|20310|Star!
311|20307|Star Trek: Generations
312|18828|Murder!
313|19587|The Real Cancun
314|16078|Copper Mountain
315|17985|Khartoum
316|18330|The Lord of the Rings
317|19575|The Rat Pack
318|16324|Decoys
319|16526|The Draughtsmans Contract
320|22093|Tower of Terror
321|20290|Stage Fright
322|14917|4 Little Girls
323|21362|Defending Your Life
324|20421|Suddenly, Last Summer
325|21853|Murder on the Orient Express
326|17076|Get on the Bus
327|16722|The Eyes of Tammy Faye
328|9003|Darby OGill and the Little People
329|20176|The Snow Walker
330|21026|Walk Like a Man
331|21770|The Last Hurrah
332|16941|The Fox and the Hound
333|19240|The Patsy
334|17222|The Greatest Show on Earth
335|15841|The Cavemans Valentine
336|15793|Carlas Song
337|15983|Cloak and Dagger
338|15268|Barbarian Queen
339|17495|Homeward Bound: The Incredible Journey
340|16396|Dial M for Murder
341|20690|To Have and Have Not
342|17225|The Green Berets
343|19945|The Secret of NIMH
344|21167|The Whole Wide World
345|19974|Sex Is Comedy
346|7780|Thomas and the Magic Railroad
347|18902|National Velvet
348|18495|The Man in the White Suit
349|18823|Murder by Death
350|20470|The Swarm
351|19134|Orlando
352|21637|Funny Girl
353|20633|The Three Faces of Eve
354|19334|Pinocchio
355|15977|The Clearing
356|21597|Face/Off
357|15885|The Chase
358|17983|Keys to Tulsa
359|15059|American Movie
360|19219|Parenthood
361|16260|The Day Reagan Was Shot
362|20315|Starman
363|15057|American Gun
364|21121|When Will I Be Loved
365|17060|Gentlemen Prefer Blondes
366|16180|The Curse of Frankenstein
367|18086|The Ladies Man
368|20636|Three OClock High
369|16730|Fahrenheit 451
370|14034|Jane Doe
371|16720|Eye of the Needle
372|15923|Chinese Box
373|19893|Scandal
374|20347|Still Crazy
375|22063|Taking Lives
376|15419|The Big Hit
377|21549|The Deep End of the Ocean
378|15084|Anatomy of a Murder
379|16558|Duets
380|16566|Dutch
381|20650|Thunderbirds Are GO
382|17096|Gia
383|18312|The Long Walk Home
384|18996|Nobodys Fool
385|19492|The Purifiers
386|17317|Hangmen Also Die!
387|15233|Bad Boys
388|16187|The Cutting Edge: The Magic of Movie Editing
389|21967|Roxanne
390|20816|True Colors
391|18607|Menace II Society
392|20295|Stalingrad
393|20775|The Treat
394|21587|Enemy of the State
395|15816|Casino Royale
396|18775|Mr. Hollands Opus
397|21268|The Wool Cap
398|17824|Jabberwocky
399|20446|Super Size Me
400|19244|Pay It Forward
401|20798|The Trip to Bountiful
402|18318|Longtime Companion
403|17677|Immortal Beloved
404|14990|Agent Cody Banks
405|18583|Medicine Man
406|20643|Threesome
407|17774|Introducing Dorothy Dandridge
408|19274|The Perfect Score
409|10981|Call of the Wild
410|16154|Cross Creek
411|18414|Luther
412|20255|Species
413|15237|The Bad News Bears in Breaking Training
414|14925|55 Days at Peking
415|6624|The Belly of an Architect
416|20120|Ski School 2
417|20225|Soulkeeper
418|18672|The Mirror Has Two Faces
419|20200|Somewhere in Time
420|15397|Beverly Hills Cop
421|19442|Prince of Darkness
422|17010|Funny Farm
423|21031|Walking and Talking
424|20288|Stage Beauty
425|22166|Alexanders Ragtime Band
426|21659|Grease
427|19251|Pee-wees Big Adventure
428|19986|Shadrach
429|17653|If Lucy Fell
430|15162|As Good as It Gets
431|19065|Old Gringo
432|15555|Bodies, Rest & Motion
433|21523|Crumb
434|21813|Major League II
435|18581|The Mechanic
436|20128|Slackers
437|21621|For Your Eyes Only
438|16609|The Electric Horseman
439|16229|Daniel Deronda
440|16771|Fat Man and Little Boy
441|19771|Room at the Top
442|20129|Slam
443|22267|Looney Tunes: Back in Action
444|16963|Freddy Got Fingered
445|16441|Disclosure
446|16584|Eating Raoul
447|17435|Hero at Large
448|15552|Bob le flambeur
449|20214|Sorcerer
450|16685|Even Cowgirls Get the Blues
451|15066|American Splendor
452|15762|Camp Cucamonga
453|18207|Let It Ride
454|17837|Jade
455|16002|Code of Silence
456|20857|Two Thousand Maniacs!
457|21127|When the Sky Falls
458|21521|The Crucible
459|21867|Nixon
460|18692|Mo Money
461|21397|Agent Cody Banks 2: Destination London
462|15946|Circuit
463|21385|1941
464|22227|The Philadelphia Experiment
465|19456|Prizzis Honor
466|16282|Dead End
467|18085|Ladder 49
468|8729|Fist of the North Star
469|18298|Lone Hero
470|18186|Legalese
471|15128|Antz
472|16029|Coming to America
473|20251|Speak
474|15270|Barbarosa
475|20948|Vampires vs. Zombies
476|15628|The Breakfast Club
477|17448|High Art
478|20285|St. Elmos Fire
479|21941|The Reivers
480|17124|The Glenn Miller Story
481|17083|Ghost
482|21800|The Lost World
483|15790|Care Bears Movie II: A New Generation
484|16015|Colors
485|19100|One Flew Over the Cuckoos Nest
486|17619|I Heart Huckabees
487|18065|Kronos
488|21558|The Diary of Ellen Rimbauer
489|17068|Get Carter
490|19770|The Rookie
491|16984|The Frighteners
492|19107|One True Thing
493|21012|The Wackiest Ship in the Army
494|15608|Boys and Girls
495|20121|Skin Deep
496|15290|Batman Beyond: The Movie
497|18100|The Lair of the White Worm
498|16710|Explorers
499|22073|Terms of Endearment
500|21846|Most Wanted
501|19108|One Way Out
502|21606|Fast Times at Ridgemont High
503|15444|Billboard Dad
504|20368|Straight Talk
505|19652|Respiro
506|19003|Normal
507|19137|Oscar
508|21904|Peyton Place
509|17692|In Like Flint
510|22120|The Usual Suspects
511|20561|Teenage Mutant Ninja Turtles II: The Secret of the Ooze
512|19841|Salaam Bombay!
513|20304|Star Trek IV: The Voyage Home
514|21896|The Parent Trap
515|15617|Brainscan
516|16989|From Hell
517|9454|Infested
518|18648|Mighty Morphin Power Rangers: The Movie
519|16195|D.A.R.Y.L.
520|20488|Swimfan
521|10635|The 70s
522|15840|Caveman
523|21256|Woman on Top
524|16214|Dance with Me
525|16817|Final Cut
526|16815|Final
527|15067|American Strays
528|17040|Garage Days
529|17226|Green Card
530|20909|Universal Soldier: The Return
531|17028|Gallipoli
532|16095|Count Yorga, Vampire
533|16109|Cover Girl
534|22161|You Cant Take It with You
535|17976|Keeping Up Appearances
536|18167|Laura
537|17859|Jaws: The Revenge
538|19488|The Puppet Masters
539|20358|Storm Catcher
540|16368|Destination Moon
541|16371|Detective Story
542|18609|Mephisto
543|18931|New Jersey Drive
544|17359|Haunted Honeymoon
545|18336|Loser
546|21014|Wag the Dog
547|18680|Miss Julie
548|19709|Rites of Passage
549|18270|Little Odessa
550|22177|Clash of the Titans
551|18467|Making the Grade
552|18944|Next of Kin
553|16605|El Cid
554|19993|Shakedown
555|16975|Fresh Horses
556|16985|Frightmare
557|16157|The Crossing
558|18174|The Leading Man
559|20369|Straight to Hell
560|19183|The Ox-Bow Incident
561|20319|State Fair
562|22199|Gremlins
563|8327|Alexander the Great
564|15361|Beneath the Planet of the Apes
565|16651|The English Patient
566|13935|Little Fugitive
567|21694|The Hound of the Baskervilles
568|20291|Stagecoach
569|8503|The Unsaid
570|15614|Brain Dead
571|5474|Def by Temptation
572|18500|Man on Fire
573|15789|Carbon Copy
574|20916|Unspeakable
575|20194|Something Wicked This Way Comes
576|9041|Rub & Tug
577|16121|Cradle Will Rock
578|16186|Cutthroat Island
579|20946|Vampirella
580|18104|Lamhe
581|18353|The Lost Weekend
582|15768|Candy
583|20001|Shallow Ground
584|9194|Barbie as Rapunzel
585|16635|Empire of the Sun
586|19049|Odd Man Out
587|21076|Weird Science
588|16185|Cutters Way
589|17810|It Runs in the Family
590|20046|Shocker
591|15112|Anna Karenina
592|16577|Easter Parade
593|18536|Mars Needs Women
594|21046|The War of the Worlds
595|17282|Gypsy
596|15732|Bye Bye Birdie
597|15939|The Cincinnati Kid
598|15669|Broadway Melody of 1940
599|15540|The Blue Gardenia
600|18095|Lady in a Cage
601|9417|Elvis: Thats the Way It Is
602|18351|Lost Souls
603|15116|Anne of Green Gables: The Sequel
604|20670|Timeline
605|16112|Cowboy
606|19252|Peeping Tom
607|22157|X-Men
608|14913|The 300 Spartans
609|19673|The Revenge of Frankenstein
610|15076|The Amityville Horror
611|15170|The Assassination Bureau
612|17927|Jungle Fever
613|20640|Three Wishes
614|19850|Samantha: An American Girl Holiday
615|16350|Demetrius and the Gladiators
616|20727|Torch Song Trilogy
617|22229|Point of No Return
618|19584|The Razors Edge
619|18418|Ma vie en rose
620|17542|House of Frankenstein
621|21925|Psycho
622|20012|Shark Attack
623|17540|House of Cards
624|4797|Blood Freak
625|19394|Postcards from the Edge
626|17277|Guns of the Magnificent Seven
627|18732|Montenegro
628|22205|Howling IV: The Original Nightmare
629|19599|Rebecca
630|21198|Will Penny
631|18549|Masters of the Universe
632|21870|Northfork
633|6539|Klute
634|17258|Guilty Conscience
635|19566|Rancho Deluxe
636|16100|The Country Girl
637|17114|Girlfight
638|18726|The Monster Club
639|19344|The Plague Dogs
640|17371|He Knows Youre Alone
641|21129|Where Eagles Dare
642|15012|Alien Apocalypse
643|20397|Stripes
644|19120|Opera
645|18977|No Code of Conduct
646|16591|Eddie and the Cruisers
647|20951|Vampyres
648|21932|Radio Days
649|18498|Man of the House
650|20985|View from the Top
651|17018|Fuzz
652|4882|Flipper
653|16313|Deathsport
654|15471|Black Angel
655|15907|Chicago
656|20940|The Valley of Gwangi
657|17360|The Haunted Mansion
658|15546|Blue in the Face
659|20356|Stonewall
660|19234|Passport to Paris
661|9387|Ill Remember April
662|15331|Beethovens 4th
663|19892|The Scalphunters
664|20593|That Darn Cat
665|19542|Raggedy Man
666|17668|Im No Angel
667|17964|The Karate Kid, Part II
668|16382|The Devil Rides Out
669|16707|Exotica
670|15521|The Blob
671|21660|The Great Gatsby
672|8185|Alvarez Kelly
673|18744|The More the Merrier
674|20494|Swing Kids
675|15719|Bus Stop
676|16178|Curly Top
677|19022|Notting Hill
678|21951|Ringu
679|16284|Dead Heat
680|17713|In the Mouth of Madness
681|20436|Sunday Bloody Sunday
682|16163|The Crow: Wicked Prayer
683|17752|Inseminoid
684|18294|The Locusts
685|6314|The Quickie
686|16162|The Crow: Salvation
687|17325|Happily Ever After
688|18743|More Tales of the City
689|21742|Joe and Max
690|16936|Foul Play
691|21483|Bringing Up Baby
692|19499|Pygmalion
693|16966|Free Willy
694|17954|Kagemusha
695|19929|Seance on a Wet Afternoon
696|17452|High Heels and Low Lifes
697|15871|Charade
698|18391|Love in the Afternoon
699|18380|Love Me or Leave Me
700|19019|Nothing to Lose
701|20713|Tommy Boy
702|6405|The St. Francisville Experiment
703|19857|Samurai champloo
704|22098|Training Day
705|20312|Stardom
706|18809|The Mummy
707|19842|Salems Lot
708|20703|Tom Horn
709|17280|Guys and Dolls
710|15121|Another Stakeout
711|19710|The River Wild
712|18601|Men at Work
713|20083|Silkwood
714|18164|The Late Shift
715|19642|Repo Man
716|21863|Natural Born Killers
717|19455|Privates on Parade
718|17510|Hoosiers
719|21477|Brazil
720|18523|The Many Adventures of Winnie the Pooh
721|20260|Spencers Mountain
722|19114|The Onion Field
723|22219|Mary Reilly
724|17051|The Gauntlet
725|18758|Motorama
726|16559|Dumb and Dumberer: When Harry Met Lloyd
727|15819|Casper: A Spirited Beginning
728|9392|Dons Party
729|18814|Muppet Treasure Island
730|16309|Death Wish 4: The Crackdown
731|11095|Crossfire Trail
732|17196|Grand Hotel
733|15645|Breezy
734|15092|Angel and the Badman
735|20877|Un chien andalou
736|16266|The Day the Earth Stood Still
737|8869|Sleepaway Camp III: Teenage Wasteland
738|17717|In the Soup
739|20473|Sweepers
740|19399|Power
741|16588|Ed and His Dead Mother
742|15247|The Ballad of Jack and Rose
743|18310|The Long Ships
744|20938|Vacuuming Completely Nude in Paradise
745|16510|Dracula
746|14144|Chasing Sleep
747|17949|K-911
748|21680|Heavenly Creatures
749|18108|The Land Before Time IV: Journey Through the Mists
750|16780|Fathers Little Dividend
751|16760|Far from Home: The Adventures of Yellow Dog
752|19678|Reversible Errors
753|15673|Broken Lance
754|11959|Amazons and Gladiators
755|16859|Fitzcarraldo
756|21665|Gummo
757|17269|Gunfight at the O.K. Corral
758|15207|BUtterfield 8
759|21135|Where the Red Fern Grows
760|16472|Dominick and Eugene
761|17445|The Hideous Sun Demon
762|16511|Dracula 2000
763|19704|Rio Lobo
764|18352|Lost Voyage
765|21505|Chrystal
766|20997|Vision Quest
767|18622|Metallica: Some Kind of Monster
768|18698|The Mod Squad
769|22041|Star Trek VI: The Undiscovered Country
770|16947|Francesco
771|7481|After Dark, My Sweet
772|22110|Two Moon Junction
773|20146|Sliding Doors
774|20609|The Thing
775|17924|Jungle Book
776|15310|The Beat
777|21199|Willard
778|15948|Circus World
779|19139|Ossessione
780|19420|Price of Glory
781|19028|Nuns on the Run
782|18299|Lone Star
783|17139|The God Who Wasnt There
784|19937|Secret Agent
785|21287|Wrong Is Right
786|21209|Wing Chun
787|9538|Miranda
788|21246|Witness for the Prosecution
789|15284|Basil
790|18577|Mean Guns
791|9390|.com for Murder
792|18670|Miracle on 34th Street
793|16010|The Collector
794|22265|The Last Ride
795|20879|The Unborn
796|20010|The Shape of Things
797|19837|Saint Seiya
798|21811|Madonna: Truth or Dare
799|19753|Roger & Me
800|16725|FLCL
801|4895|Venus Rising
802|18571|McLibel
803|14427|American Pop
804|6053|The Atomic Cafe
805|17232|Grey Gardens
806|13030|On Any Sunday
807|15698|Buena Vista Social Club
808|21334|Z Channel: A Magnificent Obsession
809|18349|Lost Reality
810|17020|G.I. Joe: The Movie
811|21897|Paris Is Burning
812|12087|The Work of Director Chris Cunningham
813|18064|Kristin Lavransdatter
814|18896|Naqoyqatsi
815|19165|Outfoxed: Rupert Murdochs War on Journalism
816|18362|Lottery
817|7772|The Rain
818|20736|Totally Spies!
819|22270|The Underworld
820|21269|Word Wars
821|10115|Beef
822|21173|Whos the Man?
823|17961|Kansas City
824|16819|Final Destination 2
825|19153|Out Cold
826|16950|Frank McKlusky, C.I.
827|21591|The Even Stevens Movie
828|17077|The Getaway
829|21882|One Hour Photo
830|14903|21 Grams
831|21403|All the Right Moves
832|20187|Soldiers Girl
833|19304|Phenomenon
834|21746|Julien Donkey-Boy
835|16619|Elling
836|18451|Magnum Force
837|20519|Talent for the Game
838|16013|The Color of Money
839|17249|Grumpier Old Men
840|16618|Ella Enchanted
841|18360|Lost in Space
842|17048|Gator
843|17091|Ghosts of Mars
844|19404|Powwow Highway
845|15535|Blown Away
846|16636|Employee of the Month
847|21753|Killer Klowns from Outer Space
848|21574|Driving Miss Daisy
849|15895|Cheaters
850|17597|The Hurricane
851|17625|I Love You, I Love You Not
852|17654|If You Only Knew
853|15557|Body Parts
854|20570|The Temptations
855|21356|eXistenZ
856|21978|Scanners
857|21423|Bait
858|15003|Akele Hum Akele Tum
859|16413|Dil
860|21943|Resident Evil: Apocalypse
861|18376|Love Letters
862|15035|Along Came Polly
863|15847|Cellular
864|20829|Tuesdays with Morrie
865|21676|Heartburn
866|15389|Better Off Dead...
867|16769|Fat Albert
868|15095|Angelas Ashes
869|20574|Tender Mercies
870|15332|Beethovens 5th
871|20462|Suspect
872|15667|Broadway Damage
873|19528|RKO 281
874|18301|Lone Wolf McQuade
875|18895|Napoleon Dynamite
876|16161|The Crow: City of Angels
877|19627|Relative Values
878|19577|Rated X
879|20931|Urban Legends: Final Cut
880|20261|Spetters
881|17174|Good Morning, Vietnam
882|17438|Hey Ram
883|20792|Trick
884|9679|Caught
885|15488|Black Scorpion
886|21937|Re-Animator
887|17881|Jo Jo Dancer, Your Life Is Calling
888|16438|Dirty War
889|20130|Slam Dunk Ernest
890|20807|Troop Beverly Hills
891|17126|Glitter
892|20256|Speechless
893|15532|Blow
894|20047|Shogun
895|10775|Pork Chop Hill
896|17731|The Indian Fighter
897|19580|Ravenous
898|21626|Freddy vs. Jason
899|15974|Clean Slate
900|16477|Don King: Only in America
901|17093|Ghosts of the Abyss
902|19162|Out to Sea
903|16352|Demonlover
904|19555|Raising Helen
905|14257|Jane Eyre
906|19725|The Roaring Twenties
907|21538|The Day After Tomorrow
908|15028|All the Presidents Men
909|18292|Lock, Stock and Two Smoking Barrels
910|14042|Paul McCartney: Back in the U.S.
911|21818|The Manhattan Project
912|19538|Radio Flyer
913|15046|The Amazing Panda Adventure
914|16679|Europa Europa
915|20766|Transylvania 6-5000
916|19013|Not of This Earth
917|16463|Dog Soldiers
918|21131|Where the Buffalo Roam
919|18444|Magic in the Water
920|21797|Look Whos Talking Now
921|19221|Parineeta
922|19246|The Peacemaker
923|17423|Henry VIII
924|17947|K-19: The Widowmaker
925|19027|Nowhere to Run
926|19037|The Object of Beauty
927|21898|Passion of Mind
928|19593|Real Women Have Curves
929|17572|Hulchul
930|17440|Hidalgo
931|17910|Jubilee
932|15927|Chocolat
933|17260|Guilty by Suspicion
934|17562|How to Make an American Quilt
935|18943|Next of Kin
936|21899|The Patriot
937|22002|Shakespeare in Love
938|17353|Harvard Man
939|17917|Juggernaut
940|15728|Buzz Lightyear of Star Command: The Adventure Begins
941|21193|Wilde
942|19349|Platoon
943|17402|The Hebrew Hammer
944|19847|The Salton Sea
945|19553|Raise Your Voice
946|20244|Spaced Invaders
947|17224|Greedy
948|22036|Spirit: Stallion of the Cimarron
949|15449|Billy Madison
950|16047|Coneheads
951|16603|Eight Crazy Nights
952|19008|North by Northwest
953|17455|High School High
954|17416|Hells Angels on Wheels
955|20885|Undefeated
956|19227|Party Girl
957|15473|Black Cadillac
958|15454|Bio-Dome
959|15022|All Dogs Go to Heaven 2
960|21049|Warm Springs
961|15501|Blade
962|16138|Crimes of the Heart
963|15709|Bulworth
964|21788|Life with Judy Garland: Me and My Shadows
965|19427|The Pride of the Yankees
966|16632|Empire
967|17017|Futuresport
968|17470|Hiroshima
969|16479|Donovans Brain
970|15629|Breakfast at Tiffanys
971|15568|The Bone Collector
972|17327|Happiness
973|18805|Mumford
974|21365|I Love Trouble
975|20749|The Toy
976|19091|Once Bitten
977|15316|Beautiful
978|21994|See No Evil, Hear No Evil
979|17401|Heavy Traffic
980|17592|The Hunter
981|19452|Private Benjamin
982|21419|Bad Boys II
983|15748|Calendar
984|16896|Flying Tigers
985|17220|The Great White Hype
986|17828|Jack Frost
987|15378|Best Seller
988|18888|The Naked City
989|19467|Proof
990|15726|Butterfly Kiss
991|15349|Belle epoque
992|20195|Something Wild
993|18639|Midnight Express
994|16348|Delta of Venus
995|18807|The Mummy Returns
996|16418|Dil Se..
997|15260|Bandolero!
998|19601|Recess: Schools Out
999|20553|Teachers Pet
1000|18860|My Favorite Year
1001|19135|Orphans of the Storm
1002|19786|Roxie Hart
1003|18751|The Mosquito Coast
1004|16721|Eyes of Laura Mars
1005|20159|Smillas Sense of Snow
1006|20795|Triggermen
1007|21178|Widows Peak
1008|18624|The Meteor Man
1009|20501|Switching Goals
1010|15138|The Apple Dumpling Gang
1011|20286|St. Ives
1012|19434|Prime Suspect 3
1013|18872|My Stepmother Is an Alien
1014|21735|The Jacket
1015|13500|Alaska
1016|18517|Manic
1017|20878|The Unbelievable Truth
1018|16930|Fort Apache the Bronx
1019|17746|Innocence
1020|19247|Pearl Harbor
1021|16545|Drowning Mona
1022|21642|Gangs of New York
1023|15192|Austin Powers: International Man of Mystery
1024|17586|Hungama
1025|18663|Minority Report
1026|19338|Pirates of Silicon Valley
1027|19157|Out of Reach
1028|18077|Kyun...! Ho Gaya Na
1029|19615|Red Sonja
1030|16084|Coronado
1031|20241|Space Jam
1032|18371|Love Is a Many-Splendored Thing
1033|18926|Never So Few
1034|17227|Green Dragon
1035|19622|Regarding Henry
1036|21093|What About Bob?
1037|21569|Dont Say a Word
1038|15553|Bobby Jones: Stroke of Genius
1039|21555|Desperately Seeking Susan
